gc 1 @0.059s 0%: 0.16+0.38+0.029 ms clock, 0.33+0.10/0.34/0.65+0.059 ms cpu, 4->4->0 MB, 5 MB goal, 4 P
gc 2 @0.073s 0%: 0.011+0.49+0.074 ms clock, 0.047+0.23/0.40/0.79+0.29 ms cpu, 4->4->0 MB, 5 MB goal, 4 P
gc 3 @0.087s 0%: 0.013+0.63+0.044 ms clock, 0.052+0.23/0.45/1.1+0.17 ms cpu, 4->4->0 MB, 5 MB goal, 4 P
# github.com/cdongyang/library/rbtree/bench_test
gc 1 @0.004s 7%: 0.019+1.9+0.034 ms clock, 0.057+0.16/1.7/2.2+0.10 ms cpu, 4->4->3 MB, 5 MB goal, 4 P
gc 2 @0.015s 7%: 0.010+3.1+0.091 ms clock, 0.043+0.11/3.0/6.2+0.36 ms cpu, 5->6->4 MB, 6 MB goal, 4 P
gc 3 @0.051s 4%: 0.016+4.5+0.037 ms clock, 0.065+0.18/4.3/6.0+0.15 ms cpu, 9->9->5 MB, 10 MB goal, 4 P
# testmain
gc 1 @0.006s 8%: 0.066+3.0+0.048 ms clock, 0.19+0.17/2.9/1.8+0.14 ms cpu, 4->4->3 MB, 5 MB goal, 4 P
# testmain
gc 1 @0.001s 7%: 0.027+6.3+0.042 ms clock, 0.081+2.1/0.12/0.069+0.12 ms cpu, 4->5->4 MB, 5 MB goal, 4 P
gc 2 @0.012s 13%: 0.008+5.9+0.66 ms clock, 0.032+0.092/5.1/2.3+2.6 ms cpu, 7->8->7 MB, 9 MB goal, 4 P
gc 3 @0.032s 11%: 0.013+8.7+0.033 ms clock, 0.052+0.18/8.7/4.2+0.13 ms cpu, 13->14->13 MB, 15 MB goal, 4 P
gc 4 @0.066s 10%: 0.012+12+0.034 ms clock, 0.049+0.10/11/8.5+0.13 ms cpu, 22->24->22 MB, 26 MB goal, 4 P
gc 5 @0.133s 9%: 0.058+22+0.040 ms clock, 0.058+2.8/22/14+0.040 ms cpu, 40->40->32 MB, 44 MB goal, 4 P
gc 1 @0.000s 4%: 0.006+0.34+0.021 ms clock, 0.026+0/0.058/0.14+0.086 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 2 @0.001s 5%: 0.004+0.12+0.022 ms clock, 0.018+0/0.038/0.14+0.089 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
goos: linux
goarch: amd64
pkg: github.com/cdongyang/library/rbtree/bench
BenchmarkSort1E5-4                                    	gc 3 @0.017s 0%: 0.025+0.11+0.018 ms clock, 0.10+0/0.081/0.15+0.075 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 4 @0.034s 0%: 0.008+0.088+0.015 ms clock, 0.032+0/0.065/0.14+0.063 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 5 @0.050s 0%: 0.015+0.10+0.033 ms clock, 0.062+0/0.078/0.11+0.13 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 6 @0.067s 0%: 0.014+0.10+0.019 ms clock, 0.059+0/0.071/0.13+0.079 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 7 @0.088s 0%: 0.006+0.10+0.044 ms clock, 0.025+0/0.035/0.14+0.17 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 8 @0.104s 0%: 0.006+0.097+0.018 ms clock, 0.027+0/0.070/0.12+0.073 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 9 @0.121s 0%: 0.018+0.099+0.030 ms clock, 0.072+0/0.063/0.11+0.12 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 10 @0.137s 0%: 0.007+0.079+0.018 ms clock, 0.031+0/0.064/0.14+0.074 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 11 @0.153s 0%: 0.006+0.093+0.019 ms clock, 0.026+0/0.082/0.14+0.077 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 12 @0.168s 0%: 0.006+0.099+0.019 ms clock, 0.024+0/0.082/0.14+0.077 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 13 @0.199s 0%: 0.062+0.17+0.028 ms clock, 0.25+0/0.072/0.22+0.11 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 14 @0.223s 0%: 0.025+0.10+0.035 ms clock, 0.10+0/0.064/0.12+0.14 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
  100000	       156 ns/op	       8 B/op	       0 allocs/op
gc 15 @0.239s 0%: 0.005+0.10+0.030 ms clock, 0.021+0/0.078/0.076+0.12 ms cpu, 0->0->0 MB, 4 MB goal, 4 P (forced)
gc 16 @0.286s 0%: 0.014+6.5+0.048 ms clock, 0.059+0.29/6.3/6.2+0.19 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
