goos: linux
goarch: amd64
pkg: github.com/cdongyang/library/rbtree/bench
BenchmarkSort1E5-4                                    	  100000	       165 ns/op	       8 B/op	       0 allocs/op
BenchmarkSetInsert1E5-4                               	  100000	      1069 ns/op	      88 B/op	       2 allocs/op
BenchmarkSetErase1E5-4                                	  100000	       635 ns/op	      16 B/op	       1 allocs/op
BenchmarkSetNext1E5-4                                 	  100000	       212 ns/op	       8 B/op	       0 allocs/op
BenchmarkSetLast1E5-4                                 	  100000	       146 ns/op	       8 B/op	       0 allocs/op
BenchmarkSetFind1E5-4                                 	  100000	       497 ns/op	      16 B/op	       1 allocs/op
BenchmarkSetLowerBound1E5-4                           	  100000	       550 ns/op	      16 B/op	       1 allocs/op
BenchmarkSetUpperBound1E5-4                           	  100000	       611 ns/op	      16 B/op	       1 allocs/op
BenchmarkSetInsertAndErase1E5-4                       	  100000	       762 ns/op	      56 B/op	       1 allocs/op
BenchmarkSetInsertAndEraseWithPool1E5-4               	  100000	       966 ns/op	      32 B/op	       1 allocs/op
BenchmarkSysHashMapInsert1E5-4                        	  100000	       442 ns/op	      36 B/op	       0 allocs/op
BenchmarkSysHashMapErase1E5-4                         	  100000	       162 ns/op	       8 B/op	       0 allocs/op
BenchmarkSysHashMapFind1E5-4                          	  100000	        61.8 ns/op	       8 B/op	       0 allocs/op
BenchmarkSysHashMapInsertAndErase1E5-4                	  100000	       201 ns/op	       5 B/op	       0 allocs/op
BenchmarkSysHashMapInsertAndEraseWithBuf1E5-4         	  100000	       129 ns/op	      16 B/op	       0 allocs/op
BenchmarkSortStruct1E5-4                              	  100000	       339 ns/op	      32 B/op	       0 allocs/op
BenchmarkSetInsertStruct1E5-4                         	  100000	      1648 ns/op	     112 B/op	       2 allocs/op
BenchmarkSetEraseStruct1E5-4                          	  100000	       540 ns/op	      32 B/op	       0 allocs/op
BenchmarkSetFindStruct1E5-4                           	  100000	       347 ns/op	      32 B/op	       0 allocs/op
BenchmarkSetLowerBoundStruct1E5-4                     	  100000	      1046 ns/op	      32 B/op	       0 allocs/op
BenchmarkSetUpperBoundStruct1E5-4                     	  100000	      1317 ns/op	      32 B/op	       0 allocs/op
BenchmarkSetInsertAndEraseStruct1E5-4                 	  100000	      1895 ns/op	      72 B/op	       0 allocs/op
BenchmarkSetInsertAndEraseWithPoolStruct1E5-4         	  100000	      2337 ns/op	      48 B/op	       0 allocs/op
BenchmarkSysHashMapInsertStruct1E5-4                  	  100000	       932 ns/op	      66 B/op	       1 allocs/op
BenchmarkSysHashMapEraseStruct1E5-4                   	  100000	       214 ns/op	      32 B/op	       0 allocs/op
BenchmarkSysHashMapFindStruct1E5-4                    	  100000	        60.4 ns/op	      32 B/op	       0 allocs/op
BenchmarkSysHashMapInsertAndEraseStruct1E5-4          	  100000	       287 ns/op	       7 B/op	       0 allocs/op
BenchmarkSysHashMapInsertAndEraseStructWithBuf1E5-4   	  100000	       217 ns/op	      18 B/op	       0 allocs/op
BenchmarkSyncMapInsert1E5-4                           	  100000	       789 ns/op	     128 B/op	       4 allocs/op
BenchmarkSyncMapErase1E5-4                            	  100000	       485 ns/op	       8 B/op	       0 allocs/op
BenchmarkSyncMapFind1E5-4                             	  100000	       479 ns/op	       8 B/op	       0 allocs/op
BenchmarkSyncMapInsertAndErase1E5-4                   	  100000	       861 ns/op	      35 B/op	       2 allocs/op
PASS
ok  	github.com/cdongyang/library/rbtree/bench	63.555s
